rep_airp\time;totalVuelos;periodo;país
BE_EBAW;2051;2019M01 ;Belgica
BE_EBCI;4160;2019M01 ;Belgica
BE_EBLG;2545;2019M01 ;Belgica
BE_EBOS;1519;2019M01 ;Belgica
BG_LBBG;167;2019M01 ;Bulgaria
BG_LBPD;148;2019M01 ;Bulgaria
BG_LBSF;4591;2019M01 ;Bulgaria
BG_LBWN;513;2019M01 ;Bulgaria
CY_LCLK;3523;2019M01 ;Chipre
CY_LCPH;858;2019M01 ;Chipre
CZ_LKKV;129;2019M01 ;Republica Checa
CZ_LKMT;647;2019M01 ;Republica Checa
CZ_LKPD;84;2019M01 ;Republica Checa
CZ_LKPR;9438;2019M01 ;Republica Checa
CZ_LKTB;1536;2019M01 ;Republica Checa
DK_EKAH;2022;2019M01 ;Dinamarca
DK_EKBI;3778;2019M01 ;Dinamarca
DK_EKCH;19398;2019M01 ;Dinamarca
DK_EKEB;1293;2019M01 ;Dinamarca
DK_EKKA;432;2019M01 ;Dinamarca
DK_EKRK;3379;2019M01 ;Dinamarca
DK_EKRN;682;2019M01 ;Dinamarca
DK_EKSB;351;2019M01 ;Dinamarca
DK_EKTS;205;2019M01 ;Dinamarca
DK_EKYT;1694;2019M01 ;Dinamarca
EE_EETN;3146;2019M01 ;Estonia
EL_LGAL;258;2019M01 ;Grecia
EL_LGAV;13344;2019M01 ;Grecia
EL_LGBL;4;2019M01 ;Grecia
EL_LGHI;430;2019M01 ;Grecia
EL_LGIK;72;2019M01 ;Grecia
EL_LGIO;152;2019M01 ;Grecia
EL_LGIR;1012;2019M01 ;Grecia
EL_LGKA;8;2019M01 ;Grecia
EL_LGKC;32;2019M01 ;Grecia
EL_LGKF;84;2019M01 ;Grecia
EL_LGKJ;20;2019M01 ;Grecia
EL_LGKL;42;2019M01 ;Grecia
EL_LGKO;302;2019M01 ;Grecia
EL_LGKP;106;2019M01 ;Grecia
EL_LGKR;254;2019M01 ;Grecia
EL_LGKS;24;2019M01 ;Grecia
EL_LGKV;108;2019M01 ;Grecia
EL_LGKY;34;2019M01 ;Grecia
EL_LGKZ;8;2019M01 ;Grecia
EL_LGLE;56;2019M01 ;Grecia
EL_LGLM;196;2019M01 ;Grecia
EL_LGMK;122;2019M01 ;Grecia
EL_LGML;74;2019M01 ;Grecia
EL_LGMT;456;2019M01 ;Grecia
EL_LGNX;84;2019M01 ;Grecia
EL_LGPA;122;2019M01 ;Grecia
EL_LGPL;44;2019M01 ;Grecia
EL_LGPZ;14;2019M01 ;Grecia
EL_LGRP;424;2019M01 ;Grecia
EL_LGRX;2;2019M01 ;Grecia
EL_LGSA;464;2019M01 ;Grecia
EL_LGSK;14;2019M01 ;Grecia
EL_LGSM;244;2019M01 ;Grecia
EL_LGSO;42;2019M01 ;Grecia
EL_LGSR;338;2019M01 ;Grecia
EL_LGST;74;2019M01 ;Grecia
EL_LGSY;49;2019M01 ;Grecia
EL_LGTS;3117;2019M01 ;Grecia
EL_LGZA;76;2019M01 ;Grecia
ES_GCFV;32;2019M01 ;España
ES_GCFV;1020;2019M01 ;España
ES_GCFV;2952;2019M01 ;España
ES_GCFV;4004;2019M01 ;España
ES_GCGM;256;2019M01 ;España
ES_GCGM;256;2019M01 ;España
ES_GCHI;204;2019M01 ;España
ES_GCHI;258;2019M01 ;España
ES_GCHI;462;2019M01 ;España
ES_GCLA;842;2019M01 ;España
ES_GCLA;1151;2019M01 ;España
ES_GCLA;1993;2019M01 ;España
ES_GCLP;16;2019M01 ;España
ES_GCLP;2370;2019M01 ;España
ES_GCLP;9014;2019M01 ;España
ES_GCLP;11400;2019M01 ;España
ES_GCRR;8;2019M01 ;España
ES_GCRR;985;2019M01 ;España
ES_GCRR;4095;2019M01 ;España
ES_GCRR;5088;2019M01 ;España
ES_GCTS;52;2019M01 ;España
ES_GCTS;727;2019M01 ;España
ES_GCTS;5993;2019M01 ;España
ES_GCTS;6772;2019M01 ;España
ES_GCXO;1;2019M01 ;España
ES_GCXO;2135;2019M01 ;España
ES_GCXO;3878;2019M01 ;España
ES_GCXO;6014;2019M01 ;España
