rep_airp.time,periodo,fecha,mes,year,date,pais,totalVuelos,Aeropuerto
UK_EGKK,2019M01,1/1/2019,1,2019,1/1/2019,Reino Unido,1890,Aeropuerto de Londres Gatwic
UK_EGKK,2019M01,1/1/2019,1,2019,1/1/2019,Reino Unido,17629,Aeropuerto de Londres Gatwic
UK_EGKK,2019M01,1/1/2019,1,2019,1/1/2019,Reino Unido,19602,Aeropuerto de Londres Gatwic
UK_EGKK,2019M02,1/2/2019,2,2019,1/2/2019,Reino Unido,1784,Aeropuerto de Londres Gatwic
UK_EGKK,2019M02,1/2/2019,2,2019,1/2/2019,Reino Unido,17875,Aeropuerto de Londres Gatwic
UK_EGKK,2019M02,1/2/2019,2,2019,1/2/2019,Reino Unido,19777,Aeropuerto de Londres Gatwic
UK_EGKK,2019M03,1/3/2019,3,2019,1/3/2019,Reino Unido,1990,Aeropuerto de Londres Gatwic
UK_EGKK,2019M03,1/3/2019,3,2019,1/3/2019,Reino Unido,20392,Aeropuerto de Londres Gatwic
UK_EGKK,2019M03,1/3/2019,3,2019,1/3/2019,Reino Unido,22453,Aeropuerto de Londres Gatwic
UK_EGKK,2019M04,1/4/2019,4,2019,1/4/2019,Reino Unido,1969,Aeropuerto de Londres Gatwic
UK_EGKK,2019M04,1/4/2019,4,2019,1/4/2019,Reino Unido,21756,Aeropuerto de Londres Gatwic
UK_EGKK,2019M04,1/4/2019,4,2019,1/4/2019,Reino Unido,23828,Aeropuerto de Londres Gatwic
UK_EGKK,2019M05,1/5/2019,5,2019,1/5/2019,Reino Unido,2053,Aeropuerto de Londres Gatwic
UK_EGKK,2019M05,1/5/2019,5,2019,1/5/2019,Reino Unido,23796,Aeropuerto de Londres Gatwic
UK_EGKK,2019M05,1/5/2019,5,2019,1/5/2019,Reino Unido,25925,Aeropuerto de Londres Gatwic
UK_EGKK,2019M06,1/6/2019,6,2019,1/6/2019,Reino Unido,2236,Aeropuerto de Londres Gatwic
UK_EGKK,2019M06,1/6/2019,6,2019,1/6/2019,Reino Unido,24206,Aeropuerto de Londres Gatwic
UK_EGKK,2019M06,1/6/2019,6,2019,1/6/2019,Reino Unido,26516,Aeropuerto de Londres Gatwic
UK_EGKK,2019M07,1/7/2019,7,2019,1/7/2019,Reino Unido,2464,Aeropuerto de Londres Gatwic
UK_EGKK,2019M07,1/7/2019,7,2019,1/7/2019,Reino Unido,25311,Aeropuerto de Londres Gatwic
UK_EGKK,2019M07,1/7/2019,7,2019,1/7/2019,Reino Unido,27834,Aeropuerto de Londres Gatwic
UK_EGKK,2019M08,1/8/2019,8,2019,1/8/2019,Reino Unido,2458,Aeropuerto de Londres Gatwic
UK_EGKK,2019M08,1/8/2019,8,2019,1/8/2019,Reino Unido,25700,Aeropuerto de Londres Gatwic
UK_EGKK,2019M08,1/8/2019,8,2019,1/8/2019,Reino Unido,28224,Aeropuerto de Londres Gatwic
UK_EGKK,2019M09,1/9/2019,9,2019,1/9/2019,Reino Unido,2287,Aeropuerto de Londres Gatwic
UK_EGKK,2019M09,1/9/2019,9,2019,1/9/2019,Reino Unido,23761,Aeropuerto de Londres Gatwic
UK_EGKK,2019M09,1/9/2019,9,2019,1/9/2019,Reino Unido,26081,Aeropuerto de Londres Gatwic
UK_EGKK,2020M01,1/1/2020,1,2020,1/1/2020,Reino Unido,1965,Aeropuerto de Londres Gatwic
UK_EGKK,2020M01,1/1/2020,1,2020,1/1/2020,Reino Unido,16512,Aeropuerto de Londres Gatwic
UK_EGKK,2020M01,1/1/2020,1,2020,1/1/2020,Reino Unido,18569,Aeropuerto de Londres Gatwic
UK_EGKK,2020M02,1/2/2020,2,2020,1/2/2020,Reino Unido,3983,Aeropuerto de Londres Gatwic
UK_EGKK,2020M02,1/2/2020,2,2020,1/2/2020,Reino Unido,15243,Aeropuerto de Londres Gatwic
UK_EGKK,2020M02,1/2/2020,2,2020,1/2/2020,Reino Unido,19287,Aeropuerto de Londres Gatwic
UK_EGKK,2020M03,1/3/2020,3,2020,1/3/2020,Reino Unido,3124,Aeropuerto de Londres Gatwic
UK_EGKK,2020M03,1/3/2020,3,2020,1/3/2020,Reino Unido,12031,Aeropuerto de Londres Gatwic
UK_EGKK,2020M03,1/3/2020,3,2020,1/3/2020,Reino Unido,15220,Aeropuerto de Londres Gatwic
UK_EGKK,2020M04,1/4/2020,4,2020,1/4/2020,Reino Unido,75,Aeropuerto de Londres Gatwic
UK_EGKK,2020M04,1/4/2020,4,2020,1/4/2020,Reino Unido,119,Aeropuerto de Londres Gatwic
UK_EGKK,2020M04,1/4/2020,4,2020,1/4/2020,Reino Unido,225,Aeropuerto de Londres Gatwic
UK_EGKK,2020M05,1/5/2020,5,2020,1/5/2020,Reino Unido,53,Aeropuerto de Londres Gatwic
UK_EGKK,2020M05,1/5/2020,5,2020,1/5/2020,Reino Unido,73,Aeropuerto de Londres Gatwic
UK_EGKK,2020M05,1/5/2020,5,2020,1/5/2020,Reino Unido,180,Aeropuerto de Londres Gatwic
UK_EGKK,2020M06,1/6/2020,6,2020,1/6/2020,Reino Unido,164,Aeropuerto de Londres Gatwic
UK_EGKK,2020M06,1/6/2020,6,2020,1/6/2020,Reino Unido,219,Aeropuerto de Londres Gatwic
UK_EGKK,2020M06,1/6/2020,6,2020,1/6/2020,Reino Unido,473,Aeropuerto de Londres Gatwic
UK_EGKK,2020M07,1/7/2020,7,2020,1/7/2020,Reino Unido,829,Aeropuerto de Londres Gatwic
UK_EGKK,2020M07,1/7/2020,7,2020,1/7/2020,Reino Unido,2053,Aeropuerto de Londres Gatwic
UK_EGKK,2020M07,1/7/2020,7,2020,1/7/2020,Reino Unido,2988,Aeropuerto de Londres Gatwic
UK_EGKK,2020M08,1/8/2020,8,2020,1/8/2020,Reino Unido,1066,Aeropuerto de Londres Gatwic
UK_EGKK,2020M08,1/8/2020,8,2020,1/8/2020,Reino Unido,6850,Aeropuerto de Londres Gatwic
UK_EGKK,2020M08,1/8/2020,8,2020,1/8/2020,Reino Unido,8029,Aeropuerto de Londres Gatwic
UK_EGKK,2020M09,1/9/2020,9,2020,1/9/2020,Reino Unido,871,Aeropuerto de Londres Gatwic
UK_EGKK,2020M09,1/9/2020,9,2020,1/9/2020,Reino Unido,6415,Aeropuerto de Londres Gatwic
UK_EGKK,2020M09,1/9/2020,9,2020,1/9/2020,Reino Unido,7457,Aeropuerto de Londres Gatwic
UK_EGLL,2019M01,1/1/2019,1,2019,1/1/2019,Reino Unido,9823,"Aeropuerto Internacional de Londres Heathrow
Aeropuerto de Londres-Heathrow"
UK_EGLL,2019M01,1/1/2019,1,2019,1/1/2019,Reino Unido,28236,"Aeropuerto Internacional de Londres Heathrow
Aeropuerto de Londres-Heathrow"
UK_EGLL,2019M01,1/1/2019,1,2019,1/1/2019,Reino Unido,38148,"Aeropuerto Internacional de Londres Heathrow
Aeropuerto de Londres-Heathrow"
UK_EGLL,2019M02,1/2/2019,2,2019,1/2/2019,Reino Unido,8804,"Aeropuerto Internacional de Londres Heathrow
Aeropuerto de Londres-Heathrow"
UK_EGLL,2019M02,1/2/2019,2,2019,1/2/2019,Reino Unido,26684,"Aeropuerto Internacional de Londres Heathrow
Aeropuerto de Londres-Heathrow"
UK_EGLL,2019M02,1/2/2019,2,2019,1/2/2019,Reino Unido,35554,"Aeropuerto Internacional de Londres Heathrow
Aeropuerto de Londres-Heathrow"
UK_EGLL,2019M03,1/3/2019,3,2019,1/3/2019,Reino Unido,9891,"Aeropuerto Internacional de Londres Heathrow
Aeropuerto de Londres-Heathrow"
UK_EGLL,2019M03,1/3/2019,3,2019,1/3/2019,Reino Unido,30178,"Aeropuerto Internacional de Londres Heathrow
Aeropuerto de Londres-Heathrow"
UK_EGLL,2019M03,1/3/2019,3,2019,1/3/2019,Reino Unido,40126,"Aeropuerto Internacional de Londres Heathrow
Aeropuerto de Londres-Heathrow"
