aiport,period,value,countryCod,airpCod
UK_EGKK,2019-02,19777,UK,EGKK
UK_EGKK,2019-03,22453,UK,EGKK
UK_EGKK,2019-04,23828,UK,EGKK
UK_EGKK,2019-05,25925,UK,EGKK
UK_EGKK,2019-06,26516,UK,EGKK
UK_EGKK,2019-07,27834,UK,EGKK
UK_EGKK,2019-08,28224,UK,EGKK
UK_EGKK,2019-09,26081,UK,EGKK
UK_EGKK,2019-10,24234,UK,EGKK
UK_EGKK,2019-11,18256,UK,EGKK
UK_EGKK,2019-12,20947,UK,EGKK
UK_EGKK,2020-01,18569,UK,EGKK
UK_EGKK,2020-02,19287,UK,EGKK
UK_EGKK,2020-03,15220,UK,EGKK
UK_EGKK,2020-04,225,UK,EGKK
UK_EGKK,2020-05,180,UK,EGKK
UK_EGKK,2020-06,473,UK,EGKK
UK_EGKK,2020-07,2988,UK,EGKK
UK_EGKK,2020-08,8029,UK,EGKK
UK_EGKK,2020-09,7457,UK,EGKK
UK_EGLL,2019-01,38148,UK,EGLL
UK_EGLL,2019-02,35554,UK,EGLL
UK_EGLL,2019-03,40126,UK,EGLL
UK_EGLL,2019-04,40514,UK,EGLL
UK_EGLL,2019-05,41862,UK,EGLL
UK_EGLL,2019-06,41158,UK,EGLL
UK_EGLL,2019-07,42669,UK,EGLL
UK_EGLL,2019-08,42528,UK,EGLL
UK_EGLL,2019-09,39507,UK,EGLL
UK_EGLL,2019-10,41701,UK,EGLL
UK_EGLL,2019-11,38209,UK,EGLL
UK_EGLL,2019-12,38680,UK,EGLL
UK_EGLL,2020-01,38177,UK,EGLL
UK_EGLL,2020-02,36615,UK,EGLL
UK_EGLL,2020-03,27861,UK,EGLL
UK_EGLL,2020-04,5272,UK,EGLL
UK_EGLL,2020-05,6744,UK,EGLL
UK_EGLL,2020-06,7449,UK,EGLL
UK_EGLL,2020-07,12198,UK,EGLL
UK_EGLL,2020-08,15477,UK,EGLL
UK_EGLL,2020-09,14690,UK,EGLL
NL_EHAM,2019-01,37938,NL,EHAM
NL_EHAM,2019-02,35995,NL,EHAM
NL_EHAM,2019-03,40659,NL,EHAM
NL_EHAM,2019-04,42890,NL,EHAM
NL_EHAM,2019-05,45944,NL,EHAM
NL_EHAM,2019-06,44644,NL,EHAM
NL_EHAM,2019-07,45874,NL,EHAM
NL_EHAM,2019-08,46050,NL,EHAM
NL_EHAM,2019-09,45248,NL,EHAM
NL_EHAM,2019-10,45564,NL,EHAM
NL_EHAM,2019-11,38718,NL,EHAM
NL_EHAM,2019-12,39222,NL,EHAM
NL_EHAM,2020-01,38324,NL,EHAM
NL_EHAM,2020-02,35830,NL,EHAM
NL_EHAM,2020-03,25792,NL,EHAM
NL_EHAM,2020-04,4543,NL,EHAM
NL_EHAM,2020-05,6280,NL,EHAM
NL_EHAM,2020-06,8763,NL,EHAM
NL_EHAM,2020-07,16744,NL,EHAM
NL_EHAM,2020-08,24054,NL,EHAM
NL_EHAM,2020-09,22988,NL,EHAM
NL_EHAM,2020-10,20229,NL,EHAM
ES_LEBL,2019-01,23971,ES,LEBL
ES_LEBL,2019-02,22677,ES,LEBL
ES_LEBL,2019-03,25935,ES,LEBL
ES_LEBL,2019-04,29739,ES,LEBL
ES_LEBL,2019-05,31102,ES,LEBL
ES_LEBL,2019-06,32020,ES,LEBL
ES_LEBL,2019-07,33191,ES,LEBL
ES_LEBL,2019-08,32645,ES,LEBL
ES_LEBL,2019-09,32091,ES,LEBL
ES_LEBL,2019-10,30743,ES,LEBL
ES_LEBL,2019-11,24904,ES,LEBL
ES_LEBL,2019-12,25120,ES,LEBL
ES_LEBL,2020-01,23402,ES,LEBL
ES_LEBL,2020-02,22954,ES,LEBL
ES_LEBL,2020-03,13812,ES,LEBL
ES_LEBL,2020-04,1488,ES,LEBL
ES_LEBL,2020-05,1763,ES,LEBL
ES_LEBL,2020-06,2727,ES,LEBL
ES_LEBL,2020-07,10380,ES,LEBL
ES_LEBL,2020-08,14042,ES,LEBL
ES_LEBL,2020-09,10564,ES,LEBL
ES_LEMD,2019-01,32905,ES,LEMD
ES_LEMD,2019-02,30187,ES,LEMD
ES_LEMD,2019-03,34255,ES,LEMD
ES_LEMD,2019-04,34827,ES,LEMD
ES_LEMD,2019-05,37215,ES,LEMD
ES_LEMD,2019-06,37962,ES,LEMD
ES_LEMD,2019-07,38969,ES,LEMD
ES_LEMD,2019-08,37139,ES,LEMD
ES_LEMD,2019-09,37292,ES,LEMD
ES_LEMD,2019-10,37296,ES,LEMD
ES_LEMD,2019-11,33929,ES,LEMD
ES_LEMD,2019-12,34348,ES,LEMD
ES_LEMD,2020-01,33292,ES,LEMD
ES_LEMD,2020-02,31475,ES,LEMD
ES_LEMD,2020-03,19832,ES,LEMD
ES_LEMD,2020-04,2511,ES,LEMD
ES_LEMD,2020-05,2991,ES,LEMD
ES_LEMD,2020-06,3747,ES,LEMD
ES_LEMD,2020-07,10706,ES,LEMD
ES_LEMD,2020-08,15404,ES,LEMD
ES_LEMD,2020-09,12406,ES,LEMD
FR_LFPG,2019-01,38518,FR,LFPG
FR_LFPG,2019-02,35711,FR,LFPG
FR_LFPG,2019-03,40627,FR,LFPG
FR_LFPG,2019-04,43225,FR,LFPG
FR_LFPG,2019-05,44408,FR,LFPG
FR_LFPG,2019-06,44799,FR,LFPG
FR_LFPG,2019-07,47508,FR,LFPG
FR_LFPG,2019-08,47756,FR,LFPG
FR_LFPG,2019-09,45616,FR,LFPG
FR_LFPG,2019-10,44949,FR,LFPG
FR_LFPG,2019-11,38956,FR,LFPG
FR_LFPG,2019-12,39406,FR,LFPG
FR_LFPG,2020-01,37766,FR,LFPG
