aiport,period,date,value,countryCod,airpCod,countryDesc,airpDesc
ES_LEBL,2019-01,01/01/2019,23971,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2019-02,01/02/2019,22677,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2019-03,01/03/2019,25935,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2019-04,01/04/2019,29739,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2019-05,01/05/2019,31102,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2019-06,01/06/2019,32020,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2019-07,01/07/2019,33191,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2019-08,01/08/2019,32645,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2019-09,01/09/2019,32091,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2020-01,01/01/2020,23402,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2020-02,01/02/2020,22954,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2020-03,01/03/2020,13812,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2020-04,01/04/2020,1488,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2020-05,01/05/2020,1763,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2020-06,01/06/2020,2727,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2020-07,01/07/2020,10380,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2020-08,01/08/2020,14042,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEBL,2020-09,01/09/2020,10564,ES,LEBL,España,Aeropuerto Josep Tarradellas Barcelona-El Prat
ES_LEMD,2019-01,01/01/2019,32905,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2019-02,01/02/2019,30187,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2019-03,01/03/2019,34255,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2019-04,01/04/2019,34827,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2019-05,01/05/2019,37215,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2019-06,01/06/2019,37962,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2019-07,01/07/2019,38969,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2019-08,01/08/2019,37139,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2019-09,01/09/2019,37292,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2020-01,01/01/2020,33292,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2020-02,01/02/2020,31475,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
ES_LEMD,2020-03,01/03/2020,19832,ES,LEMD,España,Aeropuerto Adolfo Suárez Madrid-Barajas
